channel,date,sender_id,message_id,text
qnashcom,2025-06-12 16:10:21+00:00,-1001336267238,4732,"📌🦴 Knife ቢላ   ☄️ High Quality   🥩የስጋ, 🦴 የአጥንት                 💸 **1000__ ብር__**  📣 **ለማዘዝ = **@Orderqnash   ውስን ፍሬ ነው የቀረው ❌❌ Limited Stock ❌  Telegram - t.me/qnashcom 🔼ጥራት ✔️ ዋስትና 🛍 ቅናሽ  🏬 አድራሻ ፦  ቁጥር 1 :- **መገናኛ ዘፍመሽ ግራንድ ሞል 3 ተኛ ፎቅ ቁጥር 329 **  ቁጥር 2 :- **ጀሞ 1 ከለላ ህንፃ ግራውንድ ለይ G07 **  ❌❌ **ማሳሰብያ**: ሱቃችን ሲመጡ ትክክለኛ የኛ ሱቅ መሆኑ ያረጋግጡ  የራሳችን ሎጎ መኖሩን እና 329 / G07 መሆኑ ያረጋግጡ !  ስልክ: 📱0946966440 📱0992606060 📱0905464599"
qnashcom,2025-06-13 11:49:49+00:00,-1001336267238,4733,"📌📣 Silicone Gel Bath Brush  🟢Cleanse and refresh skin with a gentle lather 🟢Also great for household cleaning and scrubbing. 🟢Widened design, intimate double-sided, can be easily extracted with silicone material, which is more convenient 🟢Soft and comfortable foaming, the main squirting out of the main foam, easy to clean 🟢Size: 70x11.5cm        💲 ዋጋ፦  350 ብር  📣 ለማዘዝ = @Orderqnash  ውስን ፍሬ ነው የቀረው ❌❌ < Limited Stock ❌  Telegram - t.me/qnashcom 🔼ጥራት ✔️ ዋስትና 🛍 ቅናሽ  🏬 አድራሻ ፦  ቁጥር 1 :- መገናኛ ዘፍመሽ ግራንድ ሞል 3 ተኛ ፎቅ ቁጥር 329   ቁጥር 2 :- ጀሞ 1 ከለላ ህንፃ ግራውንድ ለይ G07   ❌❌ ማሳሰብያ: ሱቃችን ሲመጡ ትክክለኛ የኛ ሱቅ መሆኑ ያረጋግጡ  የራሳችን ሎጎ መኖሩን እና 329 / G07 መሆኑ ያረጋግጡ !  ስልክ: 📱0946966440 📱0992606060 📱0905464599"
qnashcom,2025-06-14 06:30:24+00:00,-1001336267238,4734,"📌📣 Silicone Gel Bath Brush  🟢Cleanse and refresh skin with a gentle lather 🟢Also great for household cleaning and scrubbing. 🟢Widened design, intimate double-sided, can be easily extracted with silicone material, which is more convenient 🟢Soft and comfortable foaming, the main squirting out of the main foam, easy to clean 🟢Size: 70x11.5cm        💲 ዋጋ፦  350 ብር  📣 ለማዘዝ = @Orderqnash  ውስን ፍሬ ነው የቀረው ❌❌ < Limited Stock ❌  Telegram - t.me/qnashcom 🔼ጥራት ✔️ ዋስትና 🛍 ቅናሽ  🏬 አድራሻ ፦  ቁጥር 1 :- መገናኛ ዘፍመሽ ግራንድ ሞል 3 ተኛ ፎቅ ቁጥር 329   ቁጥር 2 :- ጀሞ 1 ከለላ ህንፃ ግራውንድ ለይ G07   ❌❌ ማሳሰብያ: ሱቃችን ሲመጡ ትክክለኛ የኛ ሱቅ መሆኑ ያረጋግጡ  የራሳችን ሎጎ መኖሩን እና 329 / G07 መሆኑ ያረጋግጡ !  ስልክ: 📱0946966440 📱0992606060 📱0905464599"
qnashcom,2025-06-14 06:30:24+00:00,-1001336267238,4735,"📌📣 Silicone Gel Bath Brush  🟢Cleanse and refresh skin with a gentle lather 🟢Also great for household cleaning and scrubbing. 🟢Widened design, intimate double-sided, can be easily extracted with silicone material, which is more convenient 🟢Soft and comfortable foaming, the main squirting out of the main foam, easy to clean 🟢Size: 70x11.5cm        💲 ዋጋ፦  350 ብር  📣 ለማዘዝ = @Orderqnash  ውስን ፍሬ ነው የቀረው ❌❌ < Limited Stock ❌  Telegram - t.me/qnashcom 🔼ጥራት ✔️ ዋስትና 🛍 ቅናሽ  🏬 አድራሻ ፦  ቁጥር 1 :- መገናኛ ዘፍመሽ ግራንድ ሞል 3 ተኛ ፎቅ ቁጥር 329   ቁጥር 2 :- ጀሞ 1 ከለላ ህንፃ ግራውንድ ለይ G07   ❌❌ ማሳሰብያ: ሱቃችን ሲመጡ ትክክለኛ የኛ ሱቅ መሆኑ ያረጋግጡ  የራሳችን ሎጎ መኖሩን እና 329 / G07 መሆኑ ያረጋግጡ !  ስልክ: 📱0946966440 📱0992606060 📱0905464599"
qnashcom,2025-06-17 08:05:31+00:00,-1001336267238,4736,🔠🔠🔠🔠🔠🔠 🔠🔠🔠🔠 **ቡና ማፍያ ማሽን** ✔️SKOEDI Single Cup Coffee Maker  SKOEDI⬇️ Single Cup Coffee Maker With removal filter basket  Reusable mesh filter Power button with indicator light  ዋጋ💵፦ **3400 ብር**  ውስን ፍሬ ነው የቀረው ❌❌  Telegram - t.me/qnashcom ⚡️ጥራት 🔼 ዋስትና 🛍 ቅናሽ  🏬 አድራሻ ፦  🗺ቁጥር 1 :- **መገናኛ ዘፍመሽ ግራንድ ሞል 3 ተኛ ፎቅ ቁጥር 329 **  🗺ቁጥር 2 :- **ጀሞ 1 ከለላ ህንፃ ግራውንድ ለይ G07 **  ❌❌ **ማሳሰብያ**: ሱቃችን ሲመጡ ትክክለኛ የኛ ሱቅ መሆኑ ያረጋግጡ  የራሳችን ሎጎ መኖሩን እና 329 / G07 መሆኑ ያረጋግጡ !  ስልክ: 📱 0946966440 📱 0992606060 📱 0905464599
AwasMart,2025-06-21 16:42:32+00:00,-1001429900086,11860,🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪 ❇️Baby suction bowl  👉 ባለ ሁለት ክፍል የልጆች መመገቢያ ሳህን 👉 እድሜያቸው ከ6ወር ጀምር ላሉ ህፃናት የሚመከር 👉 የራሱ ማንኪያ እና ሹካ ያለው 👉 በአንድ ግዜ 4 አይነት ምግብ ለመመገብ ያስችላል 👉 ከጠረንጴዛ ተንሸራቶ እንዳይወድቅ ማጣበቂያ ያለው 👉BPA free      ዋጋ💵፦  💰 600 ብር  💬በቴሌግራም ለማዘዝ @wamrt1                                    @wamrt2 📍አድራሻችን:- 1️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29  2️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05   📻(+251941661030 / +251943190237)  👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️  🤪 ቴሌግራም ቻናል t.me/AwasMart  📌📌📌📌📌📌📌📌📌📌📌
AwasMart,2025-06-21 16:43:12+00:00,-1001429900086,11861,
AwasMart,2025-06-21 16:43:12+00:00,-1001429900086,11862,🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪🍪 ❇️Baby suction bowl
AwasMart,2025-06-21 16:43:54+00:00,-1001429900086,11863,🔖🔖🔖🔖🔖🔖🔖🔖🔖🔖🔖🔖 ውድ ደንበኞቻችን ሱቃችን ነገ እሁድ ከ4:30-11:00 ሰዓት ክፍት መሆኑን በአክብሮት እንገልፃለን።  📍አድራሻችን:- 📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05   📻(+251941661030 / +251943190237)  👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️  🤪 ቴሌግራም ቻናል t.me/AwasMart  📌📌📌📌📌📌📌📌📌📌📌
AwasMart,2025-06-22 11:55:19+00:00,-1001429900086,11864,"🤎🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽🚽 ❇️Baby toilet seat/ potty seat  ዋጋ💵፦  💰 1,000 ብር  💬በቴሌግራም ለማዘዝ @wamrt1                                    @wamrt2 📍አድራሻችን:- 1️⃣.📌መገናኛ ኪኔሬት ሕንፃ 1ኛ ፎቅ ቁ. 101 (ዋአች ሕንፃ ፊትለፊት ንግድ ባንክ እና ጎህ ቤቶች ባንክ ያሉበት)   2️⃣.📌 ሜክሲኮ አልሳም አፓርታማ ግራውንድ ቁ. 29  3️⃣.📌 ቦሌ መድሐኔዓለም ቦሌ መሰናዶ ት/ቤት ፊትለፊት አለምነሽ ፕላዛ ግራውንድ ሱቅ ቁጥር 05   📻(+251941661030 / +251943190237)  👍ለወዳጅዎ ስላጋሩ እናመሠግናለን ☺️  🤪 ቴሌግራም ቻናል t.me/AwasMart  📌📌📌📌📌📌📌📌📌📌📌"
Fashiontera,2025-06-11 20:11:16+00:00,-1001175527648,4148,"〰️〰️〰️〰️〰️〰️〰️ Under Armur Made in Vietnam  🔸🔸🔸🔸🔸🔸 Size    41,42 Price   3500 (Free Delivery) Inbox @Hiwe5266 ስልክ +251945355266      🔶 ፋሽን ተራ /Fashion Tera 🔶           〰️〰️〰️〰️〰️〰️〰️〰️ አድራሻ: አዲስ አበባ ,ጦር ሀይሎች ድሪም ታወር 2ተኛ ፎቅ  〰️〰️〰️〰️〰️"
Fashiontera,2025-06-13 19:55:32+00:00,-1001175527648,4149,"〰️〰️〰️〰️〰️〰️〰️ Airforce  Made in Vietnam  🔸🔸🔸🔸🔸🔸 Size    40,41,42,43,44 Price   4500 (Free Delivery) Inbox @Hiwe5266 ስልክ +251945355266      🔶 ፋሽን ተራ /Fashion Tera 🔶           〰️〰️〰️〰️〰️〰️〰️〰️ አድራሻ: አዲስ አበባ ,ጦር ሀይሎች ድሪም ታወር 2ተኛ ፎቅ 〰️〰️〰️〰️〰️"
Fashiontera,2025-06-14 13:32:36+00:00,-1001175527648,4150,
Fashiontera,2025-06-14 13:32:36+00:00,-1001175527648,4151,"〰️〰️〰️〰️〰️〰️〰️ Made in Vietnam  🔸🔸🔸🔸🔸🔸 Size    41,42 Price   3400 (Free Delivery) Inbox @Hiwe5266 ስልክ +251945355266      🔶 ፋሽን ተራ /Fashion Tera 🔶           〰️〰️〰️〰️〰️〰️〰️〰️ አድራሻ: አዲስ አበባ ,ጦር ሀይሎች ድሪም ታወር 2ተኛ ፎቅ 〰️〰️〰️〰️〰️"
Fashiontera,2025-06-18 18:37:32+00:00,-1001175527648,4152,
